Date,Crypto,Open,High,Low,Close
2020-05-29,LTC,0.2,0.2,0.2,0.2
2020-05-30,LTC,0.2,0.21,0.2,0.2
2020-05-31,LTC,0.2,0.21,0.2,0.21
2020-06-01,LTC,0.21,0.21,0.2,0.21
2020-06-02,LTC,0.21,0.21,0.2,0.2
2020-06-03,LTC,0.2,0.2,0.2,0.2
2020-06-04,LTC,0.2,0.21,0.2,0.2
2020-06-05,LTC,0.2,0.21,0.2,0.2
2020-06-06,LTC,0.2,0.2,0.2,0.2
2020-06-07,LTC,0.2,0.2,0.2,0.2
2020-06-08,LTC,0.2,0.2,0.2,0.2
2020-06-09,LTC,0.2,0.21,0.2,0.2
2020-06-10,LTC,0.2,0.26,0.2,0.2
2020-06-11,LTC,0.2,0.2,0.18,0.19
2020-06-12,LTC,0.19,0.19,0.19,0.19
2020-06-13,LTC,0.19,0.19,0.19,0.19
2020-06-14,LTC,0.19,0.19,0.19,0.19
2020-06-15,LTC,0.19,0.19,0.18,0.19
2020-06-16,LTC,0.19,0.19,0.19,0.19
2020-06-17,LTC,0.19,0.2,0.19,0.19
2020-06-18,LTC,0.19,0.19,0.19,0.19
2020-06-19,LTC,0.19,0.19,0.19,0.19
2020-06-20,LTC,0.19,0.19,0.18,0.19
2020-06-21,LTC,0.19,0.19,0.19,0.19
2020-06-22,LTC,0.19,0.19,0.19,0.19
2020-06-23,LTC,0.19,0.19,0.19,0.19
2020-06-24,LTC,0.19,0.19,0.18,0.18
2020-06-25,LTC,0.18,0.18,0.18,0.18
2020-06-26,LTC,0.18,0.19,0.18,0.18
2020-06-27,LTC,0.18,0.18,0.17,0.17
2020-06-28,LTC,0.17,0.18,0.17,0.18
2020-06-29,LTC,0.18,0.18,0.18,0.18
2020-06-30,LTC,0.18,0.18,0.17,0.18
2020-07-01,LTC,0.18,0.18,0.17,0.18
2020-07-02,LTC,0.18,0.18,0.17,0.17
2020-07-03,LTC,0.17,0.18,0.17,0.18
2020-07-04,LTC,0.18,0.18,0.18,0.18
2020-07-05,LTC,0.18,0.18,0.17,0.18
2020-07-06,LTC,0.18,0.19,0.17,0.19
2020-07-07,LTC,0.19,0.19,0.18,0.18
2020-07-08,LTC,0.18,0.2,0.18,0.2
2020-07-09,LTC,0.2,0.21,0.2,0.2
2020-07-10,LTC,0.2,0.2,0.19,0.2
2020-07-11,LTC,0.2,0.2,0.2,0.2
2020-07-12,LTC,0.2,0.2,0.2,0.2
2020-07-13,LTC,0.2,0.21,0.19,0.2
2020-07-14,LTC,0.2,0.2,0.2,0.2
2020-07-15,LTC,0.2,0.2,0.2,0.2
2020-07-16,LTC,0.2,0.2,0.19,0.19
2020-07-17,LTC,0.19,0.2,0.19,0.19
2020-07-18,LTC,0.19,0.2,0.19,0.2
2020-07-19,LTC,0.2,0.2,0.2,0.2
2020-07-20,LTC,0.2,0.2,0.19,0.2
2020-07-21,LTC,0.2,0.2,0.19,0.2
2020-07-22,LTC,0.2,0.2,0.2,0.2
2020-07-23,LTC,0.2,0.21,0.2,0.21
2020-07-24,LTC,0.21,0.21,0.2,0.21
2020-07-25,LTC,0.21,0.22,0.2,0.22
2020-07-26,LTC,0.22,0.23,0.21,0.22
2020-07-27,LTC,0.22,0.23,0.21,0.23
2020-07-28,LTC,0.23,0.23,0.22,0.23
2020-07-29,LTC,0.23,0.24,0.23,0.24
2020-07-30,LTC,0.24,0.25,0.24,0.25
2020-07-31,LTC,0.25,0.26,0.24,0.25
2020-08-01,LTC,0.25,0.3,0.25,0.29
2020-08-02,LTC,0.29,0.33,0.25,0.28
2020-08-03,LTC,0.28,0.32,0.28,0.31
2020-08-04,LTC,0.31,0.32,0.29,0.3
2020-08-05,LTC,0.3,0.31,0.29,0.3
2020-08-06,LTC,0.3,0.31,0.3,0.31
2020-08-07,LTC,0.31,0.31,0.28,0.29
2020-08-08,LTC,0.29,0.3,0.29,0.29
2020-08-09,LTC,0.29,0.3,0.28,0.29
2020-08-10,LTC,0.29,0.3,0.29,0.3
2020-08-11,LTC,0.29,0.31,0.27,0.28
2020-08-12,LTC,0.28,0.29,0.27,0.28
2020-08-13,LTC,0.28,0.29,0.27,0.28
2020-08-14,LTC,0.29,0.31,0.29,0.3
2020-08-15,LTC,0.3,0.31,0.29,0.3
2020-08-16,LTC,0.3,0.3,0.29,0.3
2020-08-17,LTC,0.3,0.33,0.3,0.33
2020-08-18,LTC,0.33,0.33,0.3,0.31
2020-08-19,LTC,0.31,0.31,0.28,0.29
2020-08-20,LTC,0.29,0.29,0.28,0.29
2020-08-21,LTC,0.29,0.3,0.28,0.28
2020-08-22,LTC,0.28,0.28,0.27,0.28
2020-08-23,LTC,0.28,0.29,0.28,0.29
2020-08-24,LTC,0.29,0.29,0.28,0.29
2020-08-25,LTC,0.29,0.29,0.27,0.27
