Date,Crypto,Open,High,Low,Close
2018-12-20,ETH,98.94,117.14,98.54,113.75
2018-12-21,ETH,114.19,118.9,105.24,107.91
2018-12-22,ETH,107.91,114.88,105.34,113.9
2018-12-23,ETH,113.9,132.94,111.52,129.86
2018-12-24,ETH,129.6,159.05,128.0,142.0
2018-12-25,ETH,142.49,144.53,121.96,130.49
2018-12-26,ETH,130.49,136.95,123.44,128.42
2018-12-27,ETH,128.39,132.62,113.36,115.68
2018-12-28,ETH,115.62,138.21,112.51,134.63
2018-12-29,ETH,134.18,146.0,132.11,143.3
2018-12-30,ETH,143.94,147.0,129.06,137.85
2018-12-31,ETH,138.13,139.4,128.68,129.99
2019-01-01,ETH,129.99,140.42,129.5,137.71
2019-01-02,ETH,137.7,155.95,136.64,154.55
2019-01-03,ETH,154.55,156.76,144.49,147.88
2019-01-04,ETH,147.86,155.88,144.77,153.98
2019-01-05,ETH,154.26,160.9,152.62,156.9
2019-01-06,ETH,156.9,159.92,148.23,155.77
2019-01-07,ETH,155.77,157.5,149.79,150.35
2019-01-08,ETH,150.56,153.0,146.49,148.78
2019-01-09,ETH,148.78,153.25,148.29,149.55
2019-01-10,ETH,149.55,150.83,122.11,127.34
2019-01-11,ETH,126.87,128.74,121.73,125.25
2019-01-12,ETH,125.25,127.0,123.15,124.66
2019-01-13,ETH,124.75,127.99,113.61,115.4
2019-01-14,ETH,115.4,131.25,114.6,128.15
2019-01-15,ETH,128.12,130.42,117.2,117.83
2019-01-16,ETH,117.91,127.2,117.8,122.2
2019-01-17,ETH,122.28,123.68,117.41,121.59
2019-01-18,ETH,121.78,123.29,118.21,119.36
2019-01-19,ETH,119.36,126.28,119.15,123.8
2019-01-20,ETH,123.82,124.13,115.0,117.58
2019-01-21,ETH,117.59,118.01,113.6,115.14
2019-01-22,ETH,115.18,119.56,111.0,117.51
2019-01-23,ETH,117.37,118.89,115.01,116.29
2019-01-24,ETH,116.3,117.33,113.7,116.44
2019-01-25,ETH,116.44,117.0,114.35,114.98
2019-01-26,ETH,114.98,117.48,114.8,115.1
2019-01-27,ETH,115.1,115.54,110.78,112.89
2019-01-28,ETH,112.89,113.08,101.0,103.51
2019-01-29,ETH,103.5,106.84,102.02,104.51
2019-01-30,ETH,104.49,109.24,102.92,107.28
2019-01-31,ETH,107.28,110.19,104.7,105.81
2019-02-01,ETH,105.81,106.55,103.08,106.3
2019-02-02,ETH,106.29,107.64,105.03,106.65
2019-02-03,ETH,106.68,110.01,104.41,105.02
2019-02-04,ETH,105.04,107.95,104.81,106.57
2019-02-05,ETH,106.52,106.53,104.82,105.99
2019-02-06,ETH,106.0,106.49,100.12,103.15
2019-02-07,ETH,103.15,104.75,102.68,103.14
